Brand,Model,VAC,Powertrain,Segment,Energy consumption (Wh/km),Electric range (km),Battery capacity (kWh),Battery chemistry,Energy density (Wh/kg),Curb weight (kg),AH,BJ,CQ,FJ,GD,GS,GX,GZ,HA,HB,HE,HI,HL,HN,JL,JS,JX,LN,NM,NX,QH,SC,SD,SH,SN,TJ,XJ,XZ,YN,ZJ,Total_Registrations,Market,N_Countries,Battery_Chem_Code,CO2_g_km_EU,CO2_g_km_CN,Segment_Label
思皓,思皓E10X,HFC7000WEV12,BEV,1,113.0,306.0,32.1575,LFP,141.07,1130.0,213,2.0,84,60.0,14,3.0,204,22,154,20.0,24,145,,13.0,1.0,24,,4.0,1.0,,,55,43.0,2.0,4.0,705,3.0,,11,35,1846.0,CN,30,0,26.329,65.653,Mini
特斯拉,特斯拉Model 3,TSL7000BEVAR6,BEV,4,125.0,556.0,64.635,LFP,126.0,1761.0,2732,4420.0,3034,1054.0,4034,308.0,1369,999,3617,3952.0,1329,787,238.0,3080.0,516.0,4333,1821.0,908.0,323.0,316.0,54.0,6507,1981.0,17459.0,4086.0,2474,594.0,1.0,1432,11979,85737.0,CN,30,0,29.125,72.625,Large
特斯拉,特斯拉Model 3,TSL7000BEVBA3,BEV,4,132.0,675.0,82.863,NCA,168.0,1836.0,113,273.0,133,39.0,206,20.0,64,63,162,157.0,59,25,16.0,135.0,35.0,199,61.0,39.0,24.0,13.0,1.0,249,110.0,793.0,176.0,112,36.0,,91,495,3899.0,CN,30,4,30.756,76.69200000000001,Large
特斯拉,特斯拉Model Y,TSL6480BEVAR2,BEV,4,127.0,545.0,60.0,LFP,126.0,1929.0,6538,17245.0,7105,3090.0,11185,1013.0,3041,2407,9914,10029.0,3759,2432,1128.0,6993.0,2454.0,9984,3809.0,4560.0,1335.0,916.0,61.0,15431,6603.0,44759.0,16207.0,6820,1864.0,11.0,3676,28102,232471.0,CN,30,0,29.591,73.787,Large
特斯拉,特斯拉Model Y,TSL6480BEVBA4,BEV,4,156.0,566.0,78.4,NCA,168.0,2010.0,185,540.0,187,70.0,313,34.0,83,66,270,272.0,111,69,41.0,197.0,100.0,271,128.0,132.0,58.0,39.0,,408,163.0,1286.0,422.0,209,76.0,,161,775,6666.0,CN,30,4,36.348,90.636,Large
特斯拉,特斯拉Model Y,TSL6480BEVBA5,BEV,4,136.0,640.0,78.4,NCA,168.0,1997.0,1329,4415.0,1298,543.0,2385,295.0,613,530,2172,2103.0,909,469,299.0,1332.0,640.0,2026,705.0,1193.0,382.0,222.0,8.0,3271,1481.0,8920.0,3449.0,1399,610.0,4.0,889,5253,49144.0,CN,30,4,31.688000000000002,79.016,Large
腾势,腾势D9,QCJ6520MBEV1,BEV,5,184.0,600.0,103.36,LFP,150.0,2785.0,68,591.0,107,52.0,120,15.0,58,40,112,85.0,21,125,16.0,77.0,18.0,57,27.0,36.0,13.0,16.0,1.0,232,51.0,853.0,149.0,38,7.0,,56,81,3122.0,CN,30,0,42.872,106.904,Executive
蔚来,蔚来EC6,HFC6483ECSEV6-W,BEV,4,173.0,605.0,70.0,NCM-M,135.65,2280.0,317,344.0,115,47.0,309,14.0,60,64,172,172.0,76,45,28.0,163.0,37.0,240,68.0,65.0,49.0,26.0,13.0,523,85.0,2010.0,313.0,81,7.0,,57,657,6157.0,CN,30,2,40.309,100.51299999999999,Large
蔚来,蔚来ES6,HFC6483ECSEV2-W,BEV,4,181.0,600.0,70.0,NCM-M,135.65,2310.0,1945,3359.0,698,265.0,1285,53.0,244,302,871,885.0,444,176,158.0,867.0,157.0,1318,343.0,339.0,226.0,112.0,37.0,2492,644.0,9423.0,1150.0,445,47.0,1.0,245,3553,32084.0,CN,30,2,42.173,105.161,Large
蔚来,蔚来ES7,HFC6494ECSEV1-W,BEV,5,191.0,575.0,100.0,NCM-H,185.44,2400.0,133,491.0,78,90.0,195,13.0,20,44,131,101.0,59,36,21.0,103.0,42.0,136,42.0,45.0,27.0,16.0,8.0,389,72.0,1002.0,211.0,59,7.0,2.0,27,289,3889.0,CN,30,3,44.503,110.971,Executive
蔚来,蔚来ES8,HFC6502ECSEV5-W,BEV,5,177.0,580.0,67.1553,NCM-M,135.08,2445.0,392,1140.0,201,86.0,635,16.0,95,69,244,232.0,112,25,54.0,217.0,53.0,260,65.0,101.0,62.0,34.0,14.0,681,223.0,2295.0,307.0,135,23.0,1.0,90,814,8676.0,CN,30,2,41.241,102.83699999999999,Executive
蔚来,蔚来ET5,HFC7003CSEV1-W,BEV,4,167.0,640.0,79.6824,NCM-H,185.44,2200.0,2184,2559.0,903,319.0,1573,71.0,320,432,1077,970.0,470,163,130.0,1031.0,236.0,1585,584.0,326.0,233.0,130.0,42.0,3252,578.0,11091.0,1267.0,550,82.0,4.0,413,4198,36773.0,CN,30,3,38.911,97.027,Large
蔚来,蔚来ET7,HFC7002CSEV1-W,BEV,5,160.0,705.0,79.794,NCM-H,185.44,2379.0,181,341.0,91,28.0,177,10.0,50,46,95,104.0,55,23,14.0,115.0,36.0,160,41.0,39.0,26.0,17.0,6.0,317,78.0,1034.0,144.0,50,11.0,1.0,22,300,3612.0,CN,30,3,37.28,92.96000000000001,Executive
问界,问界M5,SKE6480SBEVR,BEV,4,158.0,620.0,79.927,LFP,141.7,2235.0,89,443.0,528,105.0,153,16.0,84,91,132,298.0,24,114,9.0,142.0,14.0,147,84.0,35.0,41.0,40.0,4.0,277,45.0,1931.0,143.0,63,6.0,2.0,45,387,5492.0,CN,30,0,36.814,91.798,Large
五菱,宏光MINI,LZW7004EVB2DBD,BEV,1,93.0,170.0,14.7033,LFP,114.0,705.0,27,22.0,41,27.0,39,13.0,83,22,102,114.0,64,15,10.0,29.0,16.0,17,22.0,45.0,3.0,10.0,5.0,87,87.0,36.0,54.0,51,3.0,1.0,58,41,1144.0,CN,30,0,21.669,54.033,Mini
五菱,宏光MINI,LZW7004EVC1UBJ,BEV,1,90.0,200.0,16.74,LFP,112.0,772.0,111,91.0,157,90.0,165,49.0,533,60,386,461.0,241,27,22.0,135.0,48.0,115,59.0,155.0,12.0,36.0,23.0,401,367.0,84.0,166.0,169,13.0,7.0,245,212,4640.0,CN,30,0,20.97,52.29,Mini
五菱,宏光MINI,LZW7004EVJDAG,BEV,1,93.0,170.0,14.7033,NCM-L,110.0,705.0,14,36.0,29,9.0,24,10.0,56,7,69,183.0,114,8,3.0,33.0,18.0,11,10.0,32.0,1.0,4.0,2.0,79,88.0,15.0,40.0,43,8.0,,35,49,1030.0,CN,30,1,21.669,54.033,Mini
五菱,宏光MINI,LZW7004EVJDBB,BEV,1,88.0,120.0,9.8208,LFP,98.0,665.0,75,99.0,108,57.0,93,41.0,172,41,292,360.0,224,31,28.0,139.0,62.0,55,60.0,142.0,12.0,31.0,24.0,272,321.0,55.0,110.0,173,18.0,7.0,163,110,3375.0,CN,30,0,20.503999999999998,51.128,Mini
五菱,宏光MINI,LZW7004EVJDBD,BEV,1,93.0,170.0,14.7033,LFP,114.0,705.0,72,84.0,110,52.0,143,27.0,278,41,267,390.0,188,31,21.0,116.0,51.0,41,64.0,146.0,9.0,20.0,12.0,291,275.0,67.0,111.0,111,19.0,4.0,188,146,3375.0,CN,30,0,21.669,54.033,Mini
五菱,宏光MINI,LZW7004EVJDJ,BEV,1,88.0,120.0,9.0,NCM-L,100.0,665.0,72,116.0,93,48.0,116,24.0,190,46,271,497.0,222,37,20.0,144.0,87.0,77,52.0,104.0,29.0,19.0,13.0,253,248.0,48.0,122.0,99,31.0,6.0,162,137,3383.0,CN,30,1,20.503999999999998,51.128,Mini
五菱,宏光MINI,LZW7004EVJEAMA,BEV,1,93.0,170.0,14.7033,LFP,117.0,700.0,31,20.0,46,15.0,28,5.0,50,15,45,98.0,83,6,4.0,34.0,17.0,17,13.0,58.0,7.0,7.0,4.0,86,45.0,8.0,40.0,52,12.0,1.0,55,36,938.0,CN,30,0,21.669,54.033,Mini
五菱,宏光MINI,LZW7004EVPCBC,BEV,1,93.0,170.0,14.7033,LFP,120.0,705.0,121,90.0,171,88.0,158,46.0,316,53,367,522.0,282,51,29.0,127.0,55.0,80,69.0,171.0,16.0,57.0,15.0,355,289.0,76.0,159.0,168,21.0,15.0,230,201,4398.0,CN,30,0,21.669,54.033,Mini
五菱,宏光MINI,LZW7004EVPCBH,BEV,1,88.0,120.0,9.8208,LFP,106.0,665.0,131,182.0,191,65.0,134,67.0,288,104,572,756.0,398,58,52.0,211.0,80.0,107,107.0,252.0,29.0,45.0,33.0,537,551.0,83.0,228.0,304,27.0,10.0,335,218,6155.0,CN,30,0,20.503999999999998,51.128,Mini
五菱,宏光MINI,LZW7004EVPDBB,BEV,1,88.0,120.0,9.8208,LFP,98.0,665.0,57,81.0,79,27.0,60,33.0,106,25,305,278.0,184,21,31.0,101.0,32.0,40,32.0,142.0,18.0,14.0,21.0,252,242.0,35.0,89.0,201,13.0,9.0,165,90,2783.0,CN,30,0,20.503999999999998,51.128,Mini
五菱,宏光MINI,LZW7004EVPHAM,BEV,1,93.0,170.0,14.7033,LFP,115.0,700.0,40,23.0,58,22.0,44,15.0,99,21,107,142.0,83,32,4.0,41.0,9.0,27,23.0,68.0,5.0,10.0,3.0,108,92.0,8.0,43.0,48,14.0,3.0,81,55,1328.0,CN,30,0,21.669,54.033,Mini
